#{"t_start": 1743315582.1523337, "env_id": "None"}
r,l,t,reward,mastery_gain,engagement,cog_load,motivation,eff_difficulty,miscon_formed,miscon_cleared
2485.30961,250,12186.458132,5.4075376731083304,0.10848023363664848,1.1583037,0.05,0.99,0.40588322,False,False
1596.875721,250,12189.348375,4.6913222920881426,0.09582273932275516,1.1285095,0.05,0.99,0.07239993,False,False
1824.232391,250,12192.343904,10.277288234664697,0.21067534418848552,1.1636689,0.15106913,0.99,0.48304564,False,False
3568.161158,250,12195.23789,22.638726230065917,0.4552517199047584,1.1248004,0.07904558,0.99,0.6642306,False,False
1587.953083,250,12198.079797,7.515325326479719,0.15045810334726661,1.1270053,0.08892219,0.99,0.07856226,False,False
3507.726758,250,12201.011931,16.582196606591413,0.32979033999871193,1.1271183,0.05,0.99,0.19711062,False,False
3068.794125,250,12215.587136,3.2330951695433394,0.06968121257959035,1.1681321,0.05,0.99,0.05448763,False,False
2623.858492,250,12218.579206,6.006541257906608,0.12528573701850876,1.1440939,0.07690285,0.99,0.50125074,False,False
947.961808,250,12300.537391,0.59833440851115,0.0195071669161827,-0.06378642,0.98,0.82157314,0.2363658,False,False
944.039676,250,12303.518552,1.6663207031733511,0.04111337960828686,0.11031236,0.98,0.99,0.461756,False,False
2721.439717,250,12306.462384,12.282551066401924,0.24586521672247996,1.1744623,0.05,0.99,0.22928151,False,False
2535.906998,250,12309.442296,5.6322256246991405,0.11812392681129266,1.160632,0.05,0.99,0.33015344,False,False
2504.633871,250,12312.368203,3.8384178537537488,0.08199474777541525,1.1573098,0.05102042,0.99,0.47904205,False,False
513.773673,250,12315.33688,2.0678235525129702,0.05097697307097607,0.16105397,0.98,0.99,0.5970681,False,False
2916.897016,250,12318.296636,6.664907244675101,0.1352990449194658,1.1342014,0.05,0.99,0.19700663,False,False
2038.119149,250,12321.184128,7.107327340091945,0.14297697358003617,1.190581,0.05,0.99,0.11821024,False,False
2033.433863,250,12402.504717,5.470974269817627,0.11069405789872717,1.1711508,0.05,0.99,0.1605772,False,False
2716.817231,250,12405.354914,5.265367266970047,0.11406554526541966,1.109292,0.05,0.99,0.05,False,False
2494.900988,250,12408.242728,6.862251832258258,0.1432579342516572,1.1589805,0.05,0.99,0.23578103,False,False
1533.75655,250,12411.142787,3.650607774777868,0.07333673534867483,1.1219833,0.05,0.99,0.34851083,False,False
1583.985197,250,12414.072219,5.598808285916519,0.11765464487154625,1.1582713,0.05,0.99,0.39580485,False,False
1982.307826,250,12417.003825,7.740821346985826,0.16002209587109642,1.1592371,0.05,0.99,0.291961,False,False
3044.058827,250,12419.946844,2.9308548983971927,0.06082352412231893,1.1958038,0.05,0.99,0.25024697,False,False
2737.755134,250,12422.822721,18.329004160434323,0.36705134301454456,1.135818,0.05,0.99,0.083137825,False,False
2684.254291,250,12504.8127,13.93206157701501,0.279013300220676,1.1759502,0.05,0.99,0.5000672,False,False
1670.168556,250,12507.687454,8.687909121488444,0.17938819414059148,1.157053,0.058009326,0.99,0.46015283,False,False
1588.878695,250,12510.599038,6.9469243034737405,0.13911281807772485,1.1347829,0.050967705,0.99,0.34548575,False,False
1877.097206,250,12513.591412,10.035048455353875,0.20610276904992858,1.1561975,0.1047644,0.99,0.47336605,False,False
2964.758055,250,12516.554866,6.429128247709121,0.13382888150589756,1.1683586,0.05,0.99,0.41364884,False,False
2053.802969,250,12519.551596,7.442580740874773,0.15401483299956004,1.1725079,0.05,0.99,0.4126955,False,False
3245.593604,250,12522.449293,9.213217312539044,0.18592793237883692,1.119746,0.086724415,0.99,0.69708335,False,False
1937.435591,250,12525.328858,9.140498545202073,0.1830531171592068,1.1592444,0.05,0.99,0.29710373,False,False
2876.823565,250,12528.241502,12.155539733520962,0.2433353986935927,1.132284,0.05,0.99,0.352388,False,False
1559.629318,250,12621.641466,6.96276012491271,0.14472775401127042,1.1587467,0.05,0.99,0.44414297,False,False
2800.20153,250,12624.571086,4.695113598594357,0.0944397671412287,1.1367482,0.05,0.99,0.3904416,False,False
1637.043422,250,12627.503974,6.147180565400461,0.12805299785389573,1.1577864,0.05,0.99,0.39003325,False,False
1025.663192,250,12630.434948,4.587240741063981,0.0967153951476915,1.1516618,0.06651576,0.99,0.27566916,False,False
1586.708565,250,12633.387256,6.587138916340447,0.13215779552513313,1.1526175,0.120700575,0.99,0.6065852,False,False
2886.069213,250,12636.278836,12.230234247061333,0.2448430699587409,1.1342821,0.05,0.99,0.41737133,False,False
1582.955244,250,12639.223134,6.371354383851152,0.13254369813574443,1.1583989,0.05,0.99,0.39623892,False,False
2725.966115,250,12642.178033,9.62046840828251,0.19278936819396242,1.1068645,0.05,0.99,0.49298593,False,False
2734.218378,250,12723.513591,7.808950535037053,0.15946588160828615,1.1325636,0.05,0.99,0.05,False,False
1023.329149,250,12726.448898,4.060750766760239,0.08152352495041512,0.9934084,0.05,0.99,0.26728,False,False
2011.642386,250,12729.536412,10.358090968016503,0.21236399894267258,1.1929996,0.05,0.99,0.2970452,False,False
3050.79955,250,12732.712434,15.871083761546346,0.3226010884187288,1.1701906,0.05,0.99,0.23506442,False,False
1633.233864,250,12735.616377,6.643278172044591,0.1380164891847697,1.1558261,0.05,0.99,0.30626947,False,False
2061.800999,250,12738.491904,7.620658744202746,0.15319392066929127,1.1706592,0.05,0.99,0.122264534,False,False
3230.322915,250,12741.553047,11.3096945168325,0.2313600856426643,1.1267639,0.05,0.99,0.46336126,False,False
1847.848613,250,12744.493373,7.868019459745817,0.15766091833172305,1.1633865,0.05,0.99,0.22072148,False,False
2637.261822,250,12826.141977,12.796223130381868,0.2561672038958076,1.159729,0.05,0.99,0.29712614,False,False
3066.082036,250,12829.070628,16.77637552949835,0.34117212696612853,1.2032411,0.05,0.99,0.3970416,False,False
3223.065392,250,12831.995476,28.81734731416239,0.37660520007137627,1.1291143,0.05,0.99,0.29431856,False,False
2520.937278,250,12834.945638,15.741768561425976,0.3151265958940123,1.1599189,0.05,0.99,0.36533728,False,False
2042.972303,250,12837.896116,6.149934304085215,0.12888137458496968,1.1590654,0.05,0.99,0.17993787,False,False
2705.043496,250,12840.82212,3.206581595897046,0.06502855360059673,1.1153684,0.05,0.99,0.369497,False,False
2492.682433,250,12843.78574,12.528220614588081,0.25072136368804065,1.1576561,0.05,0.99,0.24193075,False,False
2773.631907,250,12846.756778,-0.09299672076653492,0.0034225346258677934,0.83636963,0.08898325,0.9704029,0.59704316,False,False
1603.25827,250,12929.261381,7.10464368539438,0.1422174624262821,1.1463755,0.05,0.99,0.26693642,False,False
1650.258262,250,12932.195382,4.654950974020051,0.09894831410890194,1.1642429,0.05,0.99,0.11889752,False,False
2641.265274,250,12935.131419,5.576202012239408,0.12017283852753066,1.1569946,0.05,0.99,0.05,False,False
1364.126439,250,12949.566093,5.184012935450166,0.10819786837500717,1.1755141,0.107596755,0.99,0.3176216,False,False
3348.268711,250,12952.477333,8.94999725271629,0.18586166279581523,1.1274078,0.05,0.99,0.13966936,False,False
1945.722423,250,12955.386214,7.46780236120694,0.1607916445801006,1.1553276,0.071823165,0.99,0.5664246,False,False
1500.89125,250,12958.265314,5.582987022540082,0.11689122305487312,1.1230929,0.05,0.99,0.41421366,False,False
2106.287088,250,12961.183529,9.327074958585616,0.1866351410950931,1.1714208,0.05,0.99,0.26594058,False,False
1981.46255,250,13042.913872,8.301189811048639,0.16613007918953115,1.1906197,0.05,0.99,0.3430397,False,False
2601.781234,250,13045.827863,13.51184235778714,0.2754951379825701,1.1570444,0.05,0.99,0.1638431,False,False
